gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group A,bachelor's degree,free/reduced,completed,62,57,59
female,group C,some college,standard,none,64,56,60
male,group B,master's degree,standard,completed,88,88,93
male,group B,associate's degree,free/reduced,none,52,56,51
female,group D,some high school,standard,none,57,62,70
male,group C,bachelor's degree,free/reduced,none,75,70,64
male,group E,some college,standard,none,72,65,56
male,group C,some high school,standard,none,70,67,64
female,group D,some high school,standard,none,95,85,83
female,group C,associate's degree,free/reduced,none,60,62,54
female,group D,some high school,standard,none,78,90,87
male,group D,high school,free/reduced,none,70,60,65
male,group C,some high school,free/reduced,completed,49,39,37
male,group E,some college,free/reduced,none,53,37,40
female,group C,some college,standard,none,60,65,56
female,group B,some college,free/reduced,none,44,50,57
male,group D,high school,free/reduced,none,55,52,51
female,group D,some high school,standard,none,74,77,69
male,group A,associate's degree,standard,none,99,84,93
male,group C,high school,standard,completed,82,75,78
male,group E,associate's degree,standard,none,67,58,74
female,group D,some high school,free/reduced,none,21,22,23
male,group E,some high school,standard,none,64,72,69
male,group C,high school,standard,completed,75,72,80
male,group D,some college,standard,completed,81,82,77
female,group C,some college,standard,completed,100,100,100
female,group E,associate's degree,standard,completed,94,100,100
female,group C,some college,free/reduced,completed,77,77,84
female,group D,some college,standard,none,48,59,50
male,group C,some college,standard,completed,73,70,63
male,group C,some high school,free/reduced,none,60,65,39
male,group D,some college,standard,none,66,61,60
female,group C,high school,standard,none,73,75,76
female,group E,some college,standard,none,75,81,76
female,group C,some high school,free/reduced,none,34,52,32
female,group D,associate's degree,free/reduced,none,79,74,76
female,group C,master's degree,standard,none,78,78,79
female,group C,some high school,standard,completed,44,49,45
female,group C,associate's degree,standard,none,68,72,73
male,group B,associate's degree,standard,completed,86,82,86
female,group B,high school,standard,none,78,78,95
male,group D,associate's degree,free/reduced,completed,63,72,63
male,group D,associate's degree,free/reduced,none,82,66,78
female,group D,bachelor's degree,standard,completed,96,87,83
male,group A,master's degree,free/reduced,none,42,54,38
male,group C,some high school,free/reduced,none,27,34,31
female,group B,some college,standard,none,79,84,80
female,group D,some college,standard,none,84,83,90
male,group E,some high school,free/reduced,none,64,58,54
female,group B,high school,standard,completed,98,96,90
female,group D,master's degree,free/reduced,completed,89,95,100
female,group B,some high school,standard,completed,82,78,82
male,group B,some college,free/reduced,none,42,50,37
male,group B,bachelor's degree,free/reduced,none,89,90,94
male,group C,high school,standard,completed,83,84,79
male,group D,some college,standard,completed,64,79,76
female,group E,master's degree,standard,none,59,69,66
male,group B,some college,standard,completed,76,78,78
female,group C,some high school,standard,none,40,41,43
female,group D,some high school,standard,completed,81,85,88
male,group E,master's degree,standard,completed,74,71,74
female,group D,high school,standard,completed,69,80,83
male,group B,some college,standard,none,54,52,63
male,group D,some high school,free/reduced,none,54,48,53
male,group C,some college,standard,none,44,60,58
male,group E,bachelor's degree,standard,completed,86,81,78
male,group C,some college,standard,none,89,100,90
female,group D,master's degree,standard,completed,100,100,100
female,group A,high school,free/reduced,completed,63,77,73
female,group C,some college,standard,none,71,79,69
female,group E,bachelor's degree,standard,none,100,94,96
female,group D,some college,free/reduced,completed,70,95,79
male,group C,high school,free/reduced,none,49,55,52
female,group E,bachelor's degree,free/reduced,none,51,71,65
female,group D,some college,free/reduced,none,31,40,36
female,group C,some college,free/reduced,none,72,78,76
female,group C,master's degree,standard,completed,100,100,100
male,group C,high school,standard,none,64,67,67
male,group D,high school,standard,none,40,40,36
male,group C,some high school,standard,none,66,70,76
male,group B,some college,standard,none,62,55,54
female,group E,high school,standard,none,53,49,49
male,group E,associate's degree,free/reduced,completed,72,87,70
female,group D,high school,free/reduced,none,66,63,74
female,group E,associate's degree,free/reduced,none,51,60,51
female,group D,high school,standard,completed,72,76,75
male,group D,high school,standard,none,75,71,64
female,group D,high school,standard,none,54,72,62
female,group C,associate's degree,standard,none,51,52,60
female,group C,some college,free/reduced,none,52,70,52
female,group B,high school,free/reduced,none,67,71,73
male,group D,bachelor's degree,free/reduced,completed,72,71,69
female,group C,some college,free/reduced,completed,44,57,51
female,group B,high school,free/reduced,none,68,69,73
female,group C,bachelor's degree,standard,none,30,36,39
male,group C,high school,standard,none,67,68,68
female,group B,some high school,standard,none,52,49,57
female,group D,some college,standard,none,67,77,82
female,group E,some high school,standard,completed,75,86,80
male,group B,high school,standard,completed,90,100,95
male,group A,associate's degree,free/reduced,none,44,43,52
male,group C,some high school,standard,completed,78,89,75
female,group D,associate's degree,free/reduced,none,69,65,68
male,group D,bachelor's degree,free/reduced,none,38,37,38
male,group B,associate's degree,standard,completed,100,100,100
male,group D,associate's degree,free/reduced,none,28,35,41
female,group B,associate's degree,standard,completed,86,91,89
female,group C,master's degree,free/reduced,completed,78,79,83
female,group E,high school,standard,completed,74,86,81
male,group B,some high school,free/reduced,none,48,44,46
female,group B,some college,standard,none,76,78,82
female,group C,some college,standard,completed,40,55,57
female,group D,some high school,free/reduced,completed,63,66,60
male,group E,associate's degree,free/reduced,none,54,52,65
female,group E,some high school,standard,completed,58,66,57
male,group A,bachelor's degree,standard,none,76,84,77
male,group B,high school,standard,none,76,89,80
male,group D,some high school,free/reduced,completed,58,56,67
female,group B,some high school,standard,none,81,74,72
male,group E,high school,standard,none,69,69,69
male,group D,high school,standard,completed,55,65,62
male,group B,some high school,standard,completed,70,61,69
female,group D,high school,standard,completed,68,70,79
female,group B,high school,standard,none,58,57,65
female,group C,some college,standard,completed,84,86,84
female,group C,some college,standard,none,55,72,76
female,group C,high school,standard,none,43,51,36
female,group D,high school,standard,none,35,39,45
female,group D,some high school,free/reduced,completed,59,64,67
male,group E,some high school,free/reduced,completed,49,49,48
female,group E,high school,standard,completed,79,82,74
male,group C,associate's degree,free/reduced,none,65,66,74
male,group B,master's degree,standard,none,62,56,49
female,group D,bachelor's degree,standard,none,54,55,56
male,group E,some college,free/reduced,none,85,82,77
female,group C,some college,free/reduced,none,57,68,63
male,group C,high school,free/reduced,none,46,48,56
female,group C,associate's degree,standard,completed,68,76,70
male,group A,associate's degree,free/reduced,completed,54,65,67
female,group D,bachelor's degree,standard,completed,67,64,74
female,group C,bachelor's degree,standard,none,84,91,86
female,group D,some college,standard,none,54,62,67
male,group D,associate's degree,free/reduced,none,69,83,70
male,group D,associate's degree,standard,none,65,63,68
