student_id,attendance_pct,past_marks,submission_rate,login_frequency,resume_scans_count,mock_interview_score,career_chat_activity_count,at_risk
STU-00001,81.8,59.3,0.692,2,3,58.4,2,0
STU-00002,64.7,60.0,0.592,3,3,52.1,6,1
STU-00003,98.6,89.7,0.815,6,3,85.7,6,0
STU-00004,75.4,53.0,0.666,2,2,37.8,1,1
STU-00005,59.7,63.0,0.665,4,4,60.7,9,0
STU-00006,67.2,69.7,0.726,7,6,58.5,7,0
STU-00007,74.8,64.3,0.725,4,5,58.2,4,1
STU-00008,72.9,67.0,0.655,4,4,47.4,3,0
STU-00009,84.3,87.7,0.849,5,1,73.1,8,0
STU-00010,65.4,58.7,0.674,5,3,58.6,1,1
STU-00011,89.4,85.0,0.676,4,2,80.0,5,0
STU-00012,79.7,65.0,0.79,8,4,48.9,6,0
STU-00013,72.2,41.7,0.568,3,1,39.1,5,1
STU-00014,72.4,43.3,0.434,2,3,28.9,4,1
STU-00015,75.4,60.3,0.568,2,4,46.0,4,1
STU-00016,61.6,50.3,0.52,1,2,31.6,3,1
STU-00017,71.3,52.7,0.618,3,5,43.7,6,1
STU-00018,71.3,73.3,0.695,2,3,67.4,6,0
STU-00019,92.5,92.0,0.783,11,4,71.9,3,0
STU-00020,87.9,78.3,0.841,7,3,73.9,5,0
STU-00021,73.6,66.3,0.709,4,4,54.6,5,0
STU-00022,50.1,22.0,0.485,2,0,27.1,2,1
STU-00023,84.3,68.3,0.724,2,3,53.2,6,0
STU-00024,86.0,75.7,0.828,6,5,67.7,2,0
STU-00025,86.0,80.0,0.631,5,5,69.2,7,0
STU-00026,95.5,100.0,0.871,9,5,83.9,4,0
STU-00027,100.0,98.0,0.716,6,3,95.5,10,0
STU-00028,91.3,79.3,0.8,5,5,74.4,9,0
STU-00029,71.4,52.3,0.611,3,1,44.9,5,1
STU-00030,86.9,68.7,0.827,7,1,76.6,7,0
STU-00031,84.6,54.7,0.718,6,2,57.1,3,0
STU-00032,70.2,62.3,0.678,5,5,39.8,6,0
STU-00033,75.0,74.7,0.683,5,4,68.6,3,0
STU-00034,74.1,77.3,0.775,3,1,67.5,3,0
STU-00035,67.0,39.3,0.504,4,1,29.7,2,1
